weekday,weekday_key,slot,node_name,winner_col,battle_count_col,unified_col,banquet_col,source_header_cell
日,sun,3A,デルニール農場,C,D,,E,入力!C2
日,sun,2A,略奪の森,I,J,K,L,入力!I2
日,sun,2B,忘却の地,M,N,O,P,入力!M2
日,sun,1A,ナーガ沼地,U,V,W,X,入力!U2
日,sun,1B,旧ダンデリオン,Y,Z,AA,AB,入力!Y2
日,sun,1C,捨てられた地,AC,AD,AE,AF,入力!AC2
日,sun,1D,ベア川下流,AG,AH,AI,AJ,入力!AG2
日,sun,1E,アルティノ入り口,AK,AL,AM,AN,入力!AK2
月,mon,3A,ルツム族駐屯地,C,D,,E,入力!C3
月,mon,3B,アト農場,F,G,,H,入力!F3
月,mon,2A,ベリア農場地帯,I,J,K,L,入力!I3
月,mon,2B,ギュントの丘,M,N,O,P,入力!M3
月,mon,2C,高原地帯,Q,R,S,T,入力!Q3
月,mon,1A,隠遁の森,U,V,W,X,入力!U3
月,mon,1B,エワズの丘,Y,Z,AA,AB,入力!Y3
月,mon,1C,廃城跡入り口,AC,AD,AE,AF,入力!AC3
月,mon,1D,カイア渡し場,AG,AH,AI,AJ,入力!AG3
月,mon,1E,カズラ農場,AK,AL,AM,AN,入力!AK3
木,thu,3A,北部大農場,C,D,,E,入力!C4
木,thu,2A,トロル防御基地,I,J,K,L,入力!I4
木,thu,2B,隠された修道院,M,N,O,P,入力!M4
木,thu,2C,マルニの第2実験場,Q,R,S,T,入力!Q4
木,thu,1A,アグリス平原,U,V,W,X,入力!U4
木,thu,1B,リンチ農場廃墟,Y,Z,AA,AB,入力!Y4
木,thu,1C,ブレディー砦,AC,AD,AE,AF,入力!AC4
木,thu,1D,エントの森,AG,AH,AI,AJ,入力!AG4
木,thu,1E,クリオ村,AK,AL,AM,AN,入力!AK4
金,fri,3A,アグリス祭壇,C,D,,E,入力!C5
金,fri,2A,ナーガ抽出場,I,J,K,L,入力!I5
金,fri,2B,オークキャンプ,M,N,O,P,入力!M5
金,fri,1A,北部採石場,U,V,W,X,入力!U5
金,fri,1B,ハーピーの絶壁,Y,Z,AA,AB,入力!Y5
金,fri,1C,ブリの森,AC,AD,AE,AF,入力!AC5
金,fri,1D,マンシャの森の奥,AG,AH,AI,AJ,入力!AG5
金,fri,1E,廃鉄鉱山採掘場,AK,AL,AM,AN,入力!AK5
