db_row,date,weekday,slot,node_name,winner,legacy_people,battle_count,unified_or_constraint,banquet,tax_days,holding_days,release_date,calculation_status
16,2025-08-21,木,3A,北部大農場,RaиkSS,,4,,宴会,2,2,2025-08-23,resolved
16,2025-08-21,木,2A,トロル防御基地,AlmaVivaJP,,4,-,-,2,3,2025-08-24,resolved
16,2025-08-21,木,2B,隠された修道院,PONYTAIL,,5,-,-,2,1,2025-08-22,resolved
16,2025-08-21,木,2C,マルニの第2実験場,TheUniverse,,2,-,-,2,7,2025-08-28,resolved
16,2025-08-21,木,1A,アグリス平原,C0BRA,,5,統一,宴会,2,7,2025-08-28,resolved
16,2025-08-21,木,1B,リンチ農場廃墟,Anino,,2,-,-,2,1,2025-08-22,resolved
16,2025-08-21,木,1C,ブレディー砦,SkyCastle,,3,-,-,2,4,2025-08-25,resolved
16,2025-08-21,木,1D,エントの森,TipsyTavern,,3,-,-,2,7,2025-08-28,resolved
16,2025-08-21,木,1E,クリオ村,UnityJP,,3,-,-,2,3,2025-08-24,resolved
17,2025-08-22,金,3A,アグリス祭壇,PONYTAIL,,5,,-,3,1,2025-08-23,resolved
17,2025-08-22,金,2A,ナーガ抽出場,MystSA,,2,-,-,3,2,2025-08-24,resolved
17,2025-08-22,金,2B,オークキャンプ,Anino,,3,-,-,3,7,2025-08-29,resolved
17,2025-08-22,金,1A,北部採石場,ひよこ座流星群,,5,-,-,3,7,2025-08-29,resolved
17,2025-08-22,金,1B,ハーピーの絶壁,REGENCY彡,,3,-,-,3,7,2025-08-29,resolved
17,2025-08-22,金,1C,ブリの森,Kopitiam,,3,-,-,3,7,2025-08-29,resolved
17,2025-08-22,金,1D,マンシャの森の奥,Maverickz,,3,-,-,3,7,2025-08-29,resolved
17,2025-08-22,金,1E,廃鉄鉱山採掘場,ーArchー,,3,-,宴会,3,2,2025-08-24,resolved
19,2025-08-24,日,3A,デルニール農場,MystSA,,,,-,5,4,2025-08-28,resolved
19,2025-08-24,日,2A,略奪の森,氣噗噗讓玻璃心碎一地,,,-,-,5,7,2025-08-31,resolved
19,2025-08-24,日,2B,忘却の地,AlmaVivaJP,,,-,-,5,6,2025-08-30,resolved
19,2025-08-24,日,1A,ナーガ沼地,一DEFlANCE,,,統一,-,5,5,2025-08-29,resolved
19,2025-08-24,日,1B,旧ダンデリオン,シェイド,,,統一,-,5,1,2025-08-25,resolved
