db_row,date,weekday,slot,tax_seed,release_date_seed
8,2025-08-13,水,3A,0,2025-08-19
8,2025-08-13,水,3B,0,2025-08-19
8,2025-08-13,水,2A,0,2025-08-19
8,2025-08-13,水,2B,0,2025-08-19
8,2025-08-13,水,2C,0,2025-08-19
8,2025-08-13,水,1A,0,2025-08-19
8,2025-08-13,水,1B,0,2025-08-19
8,2025-08-13,水,1C,0,2025-08-19
8,2025-08-13,水,1D,0,2025-08-19
8,2025-08-13,水,1E,0,2025-08-19
9,2025-08-14,木,3A,0,2025-08-19
9,2025-08-14,木,3B,0,2025-08-19
9,2025-08-14,木,2A,0,2025-08-19
9,2025-08-14,木,2B,0,2025-08-19
9,2025-08-14,木,2C,0,2025-08-19
9,2025-08-14,木,1A,0,2025-08-19
9,2025-08-14,木,1B,0,2025-08-19
9,2025-08-14,木,1C,0,2025-08-19
9,2025-08-14,木,1D,0,2025-08-19
9,2025-08-14,木,1E,0,2025-08-19
10,2025-08-15,金,3A,0,2025-08-19
10,2025-08-15,金,3B,0,2025-08-19
10,2025-08-15,金,2A,0,2025-08-19
10,2025-08-15,金,2B,0,2025-08-19
10,2025-08-15,金,2C,0,2025-08-19
10,2025-08-15,金,1A,0,2025-08-19
10,2025-08-15,金,1B,0,2025-08-19
10,2025-08-15,金,1C,0,2025-08-19
10,2025-08-15,金,1D,0,2025-08-19
10,2025-08-15,金,1E,0,2025-08-19
11,2025-08-16,土,3A,0,2025-08-19
11,2025-08-16,土,3B,0,2025-08-19
11,2025-08-16,土,2A,0,2025-08-19
11,2025-08-16,土,2B,0,2025-08-19
11,2025-08-16,土,2C,0,2025-08-19
11,2025-08-16,土,1A,0,2025-08-19
11,2025-08-16,土,1B,0,2025-08-19
11,2025-08-16,土,1C,0,2025-08-19
11,2025-08-16,土,1D,0,2025-08-19
11,2025-08-16,土,1E,0,2025-08-19
12,2025-08-17,日,3A,0,2025-08-19
12,2025-08-17,日,3B,0,2025-08-19
12,2025-08-17,日,2A,0,2025-08-19
12,2025-08-17,日,2B,0,2025-08-19
12,2025-08-17,日,2C,0,2025-08-19
12,2025-08-17,日,1A,0,2025-08-19
12,2025-08-17,日,1B,0,2025-08-19
12,2025-08-17,日,1C,0,2025-08-19
12,2025-08-17,日,1D,0,2025-08-19
12,2025-08-17,日,1E,0,2025-08-19
13,2025-08-18,月,3A,0,2025-08-19
13,2025-08-18,月,3B,0,2025-08-19
13,2025-08-18,月,2A,0,2025-08-19
13,2025-08-18,月,2B,0,2025-08-19
13,2025-08-18,月,2C,0,2025-08-19
13,2025-08-18,月,1A,0,2025-08-19
13,2025-08-18,月,1B,0,2025-08-19
13,2025-08-18,月,1C,0,2025-08-19
13,2025-08-18,月,1D,0,2025-08-19
13,2025-08-18,月,1E,0,2025-08-19
14,2025-08-19,火,3A,0,2025-08-19
14,2025-08-19,火,3B,0,2025-08-19
14,2025-08-19,火,2A,0,2025-08-19
14,2025-08-19,火,2B,0,2025-08-19
14,2025-08-19,火,2C,0,2025-08-19
14,2025-08-19,火,1A,0,2025-08-19
14,2025-08-19,火,1B,0,2025-08-19
14,2025-08-19,火,1C,0,2025-08-19
14,2025-08-19,火,1D,0,2025-08-19
14,2025-08-19,火,1E,0,2025-08-19
