source_row,date,weekday,3A_winner,3A_battle_count,3A_banquet,3B_winner,3B_battle_count,3B_banquet,2A_winner,2A_battle_count,2A_unified,2A_banquet,2B_winner,2B_battle_count,2B_unified,2B_banquet,2C_winner,2C_battle_count,2C_unified,2C_banquet,1A_winner,1A_battle_count,1A_unified,1A_banquet,1B_winner,1B_battle_count,1B_unified,1B_banquet,1C_winner,1C_battle_count,1C_unified,1C_banquet,1D_winner,1D_battle_count,1D_unified,1D_banquet,1E_winner,1E_battle_count,1E_unified,1E_banquet,siege_calpheon_winner,siege_calpheon_attacker1,siege_calpheon_attacker2,siege_valencia_winner,siege_valencia_attacker1,siege_valencia_attacker2
7,2025-08-19,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025-08-20,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025-08-21,木,RaиkSS,4,宴会,,,,AlmaVivaJP,4,-,-,PONYTAIL,5,-,-,TheUniverse,2,-,-,C0BRA,5,統一,宴会,Anino,2,-,-,SkyCastle,3,-,-,TipsyTavern,3,-,-,UnityJP,3,-,-,,,,,,
10,2025-08-22,金,PONYTAIL,5,-,,,,MystSA,2,-,-,Anino,3,-,-,,,,,ひよこ座流星群,5,-,-,REGENCY彡,3,-,-,Kopitiam,3,-,-,Maverickz,3,-,-,ーArchー,3,-,宴会,,,,,,
11,2025-08-23,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PONYTAIL,MystSA,AlmaVivaJP,RaиkSS,Anino,TheUniverse
12,2025-08-24,日,MystSA,,-,,,,氣噗噗讓玻璃心碎一地,,-,-,AlmaVivaJP,,-,-,,,,,一DEFlANCE,,統一,-,シェイド,,統一,-,PokemonGo,,-,宴会,UnityJP,,-,-,ーArchー,,-,-,,,,,,
13,2025-08-25,月,TRAITORs,,-,ーリベリオンー,,-,PokemonGo,,-,宴会,VainqueurJP,,-,-,殺戮THM,,-,-,Restart,,-,-,一惡人谷一,,統一,宴会,DoraemonSA,,-,-,シェイド,,-,宴会,SkyCastle,,-,-,,,,,,
14,2025-08-26,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2025-08-27,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2025-08-28,木,MystSA,,-,,,,黒の太陽,,-,-,桜吹雪,,-,宴会,TheUniverse,,-,-,Revenant,,-,-,xAEGISx,,統一,-,SkyCastle,,-,宴会,LeLien,,-,-,海尼根飲酒俱樂部,,-,宴会,,,,,,
17,2025-08-29,金,LeLien,,宴会,,,,MÏRÃGË,,統一,-,沙漠黑鷹,,-,-,,,,,TheEnd,,-,宴会,シェイド,,-,-,M三OW,,統一,-,Maverickz,,統一,-,一DEFlANCE,,統一,-,,,,,,
18,2025-08-30,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlmaVivaJP,,,TRAITORs,,
19,2025-08-31,日,ーリベリオンー,,宴会,,,,氣噗噗讓玻璃心碎一地,,-,宴会,PONYTAIL,,-,-,,,,,SkyCastle,,-,宴会,PhoenixJP,,-,-,オアシスステップ,,-,-,ouтcasт,,統一,-,ーArchー,,統一,-,,,,,,
20,2025-09-01,月,廣寒宮,,宴会,LeLien,,宴会,氣噗噗讓玻璃心碎一地,,-,-,VainqueurJP,,-,-,RaиkSS,,-,-,Relax,,-,-,花落微雨醉紅塵,,-,-,xAEGISx,,-,-,シェイド,,-,-,Bagaиі,,統一,宴会,,,,,,
21,2025-09-02,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2025-09-03,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2025-09-04,木,MystSA,,-,,,,xAEGISx,,統一,宴会,雪狼族,,-,-,PhoenixJP,,-,-,βυsнỉȉdo家族,,統一,-,一惡人谷一,,-,宴会,ねこ,,統一,-,SkyCastle,,-,宴会,Maverickz,,-,-,,,,,,
24,2025-09-05,金,LeLien,,-,,,,Döraêmön,,-,宴会,・殺戮・,,-,-,,,,,TheEnd,,統一,-,オアシスステップ,,-,宴会,ーEspoirー,,-,宴会,RëBîrth,,-,-,一DEFlANCE,,-,-,,,,,,
25,2025-09-06,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2025-09-07,日,xAEGISx,,-,,,,PokemonGo,,-,-,RaиkSS,,-,宴会,,,,,亗Luxúria亗,,統一,-,PhoenixJP,,統一,-,オアシスステップ,,統一,-,Restart,,-,-,UnityJP,,-,宴会,,,,,,
27,2025-09-08,月,雪狼族,,宴会,PhoenixJP,,-,氣噗噗讓玻璃心碎一地,,-,宴会,AlmaVivaJP,,-,-,Maverickz,,-,-,Relax,,-,-,花落微雨醉紅塵,,統一,-,天機,,-,宴会,シェイド,,-,宴会,ーArchー,,-,-,,,,,,
28,2025-09-09,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2025-09-10,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2025-09-11,木,MystSA,,宴会,,,,ー麒麟ー,,-,-,・殺戮・,,-,-,Иouver,,-,宴会,亗Luxúria亗,,-,宴会,Anino,,統一,-,沙漠黑鷹,,-,-,,,-,-,シェイド,,-,-,,,,,,
31,2025-09-12,金,ーリベリオンー,,宴会,,,,VainqueurJP,,-,-,SkyCastle,,-,-,,,,,桜吹雪,,-,-,黒の太陽,,-,-,Kopitiam,,統一,-,RëBîrth,,統一,宴会,一DEFlANCE,,統一,宴会,,,,,,
32,2025-09-13,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2025-09-14,日,沙漠黑鷹,,宴会,,,,PokemonGo,,-,宴会,RaиkSS,,-,-,,,,,βυsнỉȉdo家族,,統一,-,ーArchー,,統一,-,Anino,,-,宴会,磯野家,,-,-,MÏRÃGË,,-,-,,,,,,
34,2025-09-15,月,・殺戮・,,宴会,LeLien,,,PONYTAIL,,-,宴会,ーArchー,,-,-,Maverickz,,統一,-,ZirconiA,,-,-,TheUniverse,,-,-,xAEGISx,,統一,宴会,一惡人谷一,,-,宴会,彡MukBANG彡,,統一,-,,,,,,
35,2025-09-16,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2025-09-17,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2025-09-18,木,PONYTAIL,,-,,,,ー麒麟ー,,-,-,桜吹雪,,-,-,雪狼族,,-,-,亗Luxúria亗,,-,-,心晴,,-,-,TheUniverse,,-,宴会,TipsyTavern,,統一,-,Döraêmön,,統一,宴会,,,,,,
38,2025-09-19,金,PhoenixJP,,-,,,,VainqueurJP,,-,-,RaиkSS,,-,宴会,,,,,TheEnd,,統一,宴会,黒の太陽,,-,-,Kopitiam,,-,-,RëBîrth,,-,-,一DEFlANCE,,-,-,,,,,,
39,2025-09-20,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2025-09-21,日,・殺戮・,,宴会,,,,MystSA,,-,宴会,ZirconiA,,-,-,,,,,βυsнỉȉdo家族,,統一,-,シェイド,,統一,-,Anino,,-,宴会,義勇,,-,-,,,-,-,,,,,,
41,2025-09-22,月,雪狼族,,,VainqueurJP,,,氣噗噗讓玻璃心碎一地,,,,ーArchー,,,,TheEnd,,,,Revenant,,,,SkyCastle,,,,xAEGISx,,,,一惡人谷一,,,,Restart,,,,,,,,,
42,2025-09-23,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2025-09-24,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2025-09-25,木,PhoenixJP,,,,,,LeLien,,,,Restart,,,,Maverickz,,,,亗Luxúria亗,,,,雲淡風輕o,,,,MelonEmpire,,,,沙漠黑鷹,,,,FLORISTS,,,,,,,,,
45,2025-09-26,金,ーリベリオンー,,,,,,Maverickz,,,,,,,,,,,,磯野家,,,,オアシスステップ,,,,SkyCastle,,,,,,,,一DEFlANCE,,,,,,,,,
46,2025-09-27,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2025-09-28,日,沙漠黑鷹,,,,,,Etërnîty,,,,TheUniverse,,,,,,,,βυsнỉȉdo家族,,,,シェイド,,,,Anino,,,,義勇,,,,ーEspoirー,,,,,,,,,
48,2025-09-29,月,PONYTAIL,,,VainqueurJP,,,氣噗噗讓玻璃心碎一地,,,,PhoenixJP,,,,RaиkSS,,,,Pandora,,,,MukBANG,,,,xAEGISx,,,,一惡人谷一,,,,RëBîrth,,,,,,,,,
49,2025-09-30,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2025-10-01,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
