legacy_row,node_name,legacy_time_code,weekday_master,tier,group_code,fortress,capacity,max_battle_count,effect,weekday_input_layout,slot_input_layout,weekday_conflict
2,デルニール農場,19,日,3,3,-,30,5,砂漠+6%,日,3A,False
3,ルツム族駐屯地,19,月,3,3,城塞,30,5,シェレカン+6%,月,3A,False
4,アト農場,21,水,3,3,-,50,3,戦闘経験値+30%,月,3B,True
5,北部大農場,21,木,3,3,城塞,35,4,PvP+5%,木,3A,False
6,アグリス祭壇,19,金,3,3,-,30,5,雪山+6%,金,3A,False
7,忘却の地,19,日,2,2A,城塞,20,3,雪山+4%,日,2B,False
8,ベリア農場地帯,21,月,2,2A,城塞,30,5,雪山+4%,月,2A,False
9,略奪の森,19,水,2,2A,-,30,2,砂漠+4%,日,2A,True
10,トロル防御基地,21,木,2,2A,-,30,4,シェレカン+4%,木,2A,False
11,ナーガ抽出場,21,金,2,2A,-,50,2,HP+1500,金,2A,False
12,高原地帯,19,日,2,2B,城塞,50,3,PvP+3%,月,2C,True
13,ギュントの丘,21,月,2,2B,-,35,3,戦闘経験値+20%,月,2B,False
14,マルニの第2実験場,19,水,2,2B,城塞,50,2,生活経験値+10%,木,2C,True
15,隠された修道院,21,木,2,2B,-,15,5,PvE攻防各+300,木,2B,False
16,オークキャンプ,19,金,2,2B,-,20,3,砂漠+4%,金,2B,False
17,ナーガ沼地,19,日,1,1A,-,50,3,砂漠+2%,日,1A,False
18,隠遁の森,21,月,1,1A,城塞,20,5,PvP+1%,月,1A,False
19,旧ダンデリオン,21,水,1,1A,-,50,3,雪山+2%,日,1B,True
20,アグリス平原,19,木,1,1A,城塞,15,5,HP+1000,木,1A,False
21,北部採石場,21,金,1,1A,-,15,5,戦闘経験値+10%,金,1A,False
22,捨てられた地,19,日,1,1B,-,30,3,シェレカン+2%,日,1C,False
23,エワズの丘,19,月,1,1B,-,30,3,HP+1000,月,1B,False
24,カイア渡し場,21,水,1,1B,-,30,3,PvE攻防各+100,月,1D,True
25,リンチ農場廃墟,21,木,1,1B,-,20,2,戦果箱+2%,木,1B,False
26,ハーピーの絶壁,21,金,1,1B,-,30,3,シェレカン+2%,金,1B,False
27,ベア川下流,21,日,1,1C,-,20,5,PvE攻防各+100,日,1D,False
28,廃城跡入り口,21,月,1,1C,-,30,2,戦果箱+2%,月,1C,False
29,エントの森,19,水,1,1C,-,50,3,シェレカン+2%,木,1D,True
30,ブレディー砦,19,木,1,1C,-,50,3,雪山+2%,木,1C,False
31,ブリの森,19,金,1,1C,-,30,3,雪山+2%,金,1C,False
32,アルティノ入り口,21,日,1,1D,城塞,25,5,戦闘経験値+10%,日,1E,False
33,カズラ農場,19,月,1,1D,城塞,15,5,生活経験値+5%,月,1E,False
34,廃鉄鉱山採掘場,19,水,1,1D,-,20,3,PvP+1%,金,1E,True
35,クリオ村,21,木,1,1D,城塞,50,3,戦闘経験値+10%,木,1E,False
36,マンシャの森の奥,21,金,1,1D,城塞,50,3,生活経験値+5%,金,1D,False
