source_row,date,weekday,slot,node_name,winner,battle_count,unified,banquet,node_mapping_status
9,2025-08-21,木,3A,北部大農場,RaиkSS,4,,宴会,ok
9,2025-08-21,木,2A,トロル防御基地,AlmaVivaJP,4,-,-,ok
9,2025-08-21,木,2B,隠された修道院,PONYTAIL,5,-,-,ok
9,2025-08-21,木,2C,マルニの第2実験場,TheUniverse,2,-,-,ok
9,2025-08-21,木,1A,アグリス平原,C0BRA,5,統一,宴会,ok
9,2025-08-21,木,1B,リンチ農場廃墟,Anino,2,-,-,ok
9,2025-08-21,木,1C,ブレディー砦,SkyCastle,3,-,-,ok
9,2025-08-21,木,1D,エントの森,TipsyTavern,3,-,-,ok
9,2025-08-21,木,1E,クリオ村,UnityJP,3,-,-,ok
10,2025-08-22,金,3A,アグリス祭壇,PONYTAIL,5,,-,ok
10,2025-08-22,金,2A,ナーガ抽出場,MystSA,2,-,-,ok
10,2025-08-22,金,2B,オークキャンプ,Anino,3,-,-,ok
10,2025-08-22,金,1A,北部採石場,ひよこ座流星群,5,-,-,ok
10,2025-08-22,金,1B,ハーピーの絶壁,REGENCY彡,3,-,-,ok
10,2025-08-22,金,1C,ブリの森,Kopitiam,3,-,-,ok
10,2025-08-22,金,1D,マンシャの森の奥,Maverickz,3,-,-,ok
10,2025-08-22,金,1E,廃鉄鉱山採掘場,ーArchー,3,-,宴会,ok
12,2025-08-24,日,3A,デルニール農場,MystSA,,,-,ok
12,2025-08-24,日,2A,略奪の森,氣噗噗讓玻璃心碎一地,,-,-,ok
12,2025-08-24,日,2B,忘却の地,AlmaVivaJP,,-,-,ok
12,2025-08-24,日,1A,ナーガ沼地,一DEFlANCE,,統一,-,ok
12,2025-08-24,日,1B,旧ダンデリオン,シェイド,,統一,-,ok
12,2025-08-24,日,1C,捨てられた地,PokemonGo,,-,宴会,ok
12,2025-08-24,日,1D,ベア川下流,UnityJP,,-,-,ok
12,2025-08-24,日,1E,アルティノ入り口,ーArchー,,-,-,ok
13,2025-08-25,月,3A,ルツム族駐屯地,TRAITORs,,,-,ok
13,2025-08-25,月,3B,アト農場,ーリベリオンー,,,-,ok
13,2025-08-25,月,2A,ベリア農場地帯,PokemonGo,,-,宴会,ok
13,2025-08-25,月,2B,ギュントの丘,VainqueurJP,,-,-,ok
13,2025-08-25,月,2C,高原地帯,殺戮THM,,-,-,ok
13,2025-08-25,月,1A,隠遁の森,Restart,,-,-,ok
13,2025-08-25,月,1B,エワズの丘,一惡人谷一,,統一,宴会,ok
13,2025-08-25,月,1C,廃城跡入り口,DoraemonSA,,-,-,ok
13,2025-08-25,月,1D,カイア渡し場,シェイド,,-,宴会,ok
13,2025-08-25,月,1E,カズラ農場,SkyCastle,,-,-,ok
16,2025-08-28,木,3A,北部大農場,MystSA,,,-,ok
16,2025-08-28,木,2A,トロル防御基地,黒の太陽,,-,-,ok
16,2025-08-28,木,2B,隠された修道院,桜吹雪,,-,宴会,ok
16,2025-08-28,木,2C,マルニの第2実験場,TheUniverse,,-,-,ok
16,2025-08-28,木,1A,アグリス平原,Revenant,,-,-,ok
16,2025-08-28,木,1B,リンチ農場廃墟,xAEGISx,,統一,-,ok
16,2025-08-28,木,1C,ブレディー砦,SkyCastle,,-,宴会,ok
16,2025-08-28,木,1D,エントの森,LeLien,,-,-,ok
16,2025-08-28,木,1E,クリオ村,海尼根飲酒俱樂部,,-,宴会,ok
17,2025-08-29,金,3A,アグリス祭壇,LeLien,,,宴会,ok
17,2025-08-29,金,2A,ナーガ抽出場,MÏRÃGË,,統一,-,ok
17,2025-08-29,金,2B,オークキャンプ,沙漠黑鷹,,-,-,ok
17,2025-08-29,金,1A,北部採石場,TheEnd,,-,宴会,ok
17,2025-08-29,金,1B,ハーピーの絶壁,シェイド,,-,-,ok
17,2025-08-29,金,1C,ブリの森,M三OW,,統一,-,ok
17,2025-08-29,金,1D,マンシャの森の奥,Maverickz,,統一,-,ok
17,2025-08-29,金,1E,廃鉄鉱山採掘場,一DEFlANCE,,統一,-,ok
19,2025-08-31,日,3A,デルニール農場,ーリベリオンー,,,宴会,ok
19,2025-08-31,日,2A,略奪の森,氣噗噗讓玻璃心碎一地,,-,宴会,ok
19,2025-08-31,日,2B,忘却の地,PONYTAIL,,-,-,ok
19,2025-08-31,日,1A,ナーガ沼地,SkyCastle,,-,宴会,ok
19,2025-08-31,日,1B,旧ダンデリオン,PhoenixJP,,-,-,ok
19,2025-08-31,日,1C,捨てられた地,オアシスステップ,,-,-,ok
19,2025-08-31,日,1D,ベア川下流,ouтcasт,,統一,-,ok
19,2025-08-31,日,1E,アルティノ入り口,ーArchー,,統一,-,ok
20,2025-09-01,月,3A,ルツム族駐屯地,廣寒宮,,,宴会,ok
20,2025-09-01,月,3B,アト農場,LeLien,,,宴会,ok
20,2025-09-01,月,2A,ベリア農場地帯,氣噗噗讓玻璃心碎一地,,-,-,ok
20,2025-09-01,月,2B,ギュントの丘,VainqueurJP,,-,-,ok
20,2025-09-01,月,2C,高原地帯,RaиkSS,,-,-,ok
20,2025-09-01,月,1A,隠遁の森,Relax,,-,-,ok
20,2025-09-01,月,1B,エワズの丘,花落微雨醉紅塵,,-,-,ok
20,2025-09-01,月,1C,廃城跡入り口,xAEGISx,,-,-,ok
20,2025-09-01,月,1D,カイア渡し場,シェイド,,-,-,ok
20,2025-09-01,月,1E,カズラ農場,Bagaиі,,統一,宴会,ok
23,2025-09-04,木,3A,北部大農場,MystSA,,,-,ok
23,2025-09-04,木,2A,トロル防御基地,xAEGISx,,統一,宴会,ok
23,2025-09-04,木,2B,隠された修道院,雪狼族,,-,-,ok
23,2025-09-04,木,2C,マルニの第2実験場,PhoenixJP,,-,-,ok
23,2025-09-04,木,1A,アグリス平原,βυsнỉȉdo家族,,統一,-,ok
23,2025-09-04,木,1B,リンチ農場廃墟,一惡人谷一,,-,宴会,ok
23,2025-09-04,木,1C,ブレディー砦,ねこ,,統一,-,ok
23,2025-09-04,木,1D,エントの森,SkyCastle,,-,宴会,ok
23,2025-09-04,木,1E,クリオ村,Maverickz,,-,-,ok
24,2025-09-05,金,3A,アグリス祭壇,LeLien,,,-,ok
24,2025-09-05,金,2A,ナーガ抽出場,Döraêmön,,-,宴会,ok
24,2025-09-05,金,2B,オークキャンプ,・殺戮・,,-,-,ok
24,2025-09-05,金,1A,北部採石場,TheEnd,,統一,-,ok
24,2025-09-05,金,1B,ハーピーの絶壁,オアシスステップ,,-,宴会,ok
24,2025-09-05,金,1C,ブリの森,ーEspoirー,,-,宴会,ok
24,2025-09-05,金,1D,マンシャの森の奥,RëBîrth,,-,-,ok
24,2025-09-05,金,1E,廃鉄鉱山採掘場,一DEFlANCE,,-,-,ok
26,2025-09-07,日,3A,デルニール農場,xAEGISx,,,-,ok
26,2025-09-07,日,2A,略奪の森,PokemonGo,,-,-,ok
26,2025-09-07,日,2B,忘却の地,RaиkSS,,-,宴会,ok
