source_row,date,weekday,slot,node_name,winner,battle_count,unified,banquet,node_mapping_status
30,2025-09-11,木,1D,エントの森,,,-,-,ok
40,2025-09-21,日,1E,アルティノ入り口,,,-,-,ok
66,2025-10-17,金,1A,北部採石場,,,-,-,ok
94,2025-11-14,金,1E,廃鉄鉱山採掘場,,,-,宴会,ok
153,2026-01-12,月,3B,アト農場,,,,-,ok
190,2026-02-18,水,1B,,,,",",,missing
216,2026-03-16,月,3B,アト農場,,,,-,ok
311,2026-06-19,金,2B,オークキャンプ,,,-,-,ok
313,2026-06-21,日,2A,略奪の森,,,-,宴会,ok
318,2026-06-26,金,1D,マンシャの森の奥,,,統一,-,ok
353,2026-07-31,金,1C,ブリの森,,,統一,-,ok
356,2026-08-03,月,2C,高原地帯,,,-,-,ok
356,2026-08-03,月,1A,隠遁の森,,,-,-,ok
356,2026-08-03,月,1B,エワズの丘,,,-,宴会,ok
356,2026-08-03,月,1C,廃城跡入り口,,,統一,-,ok
356,2026-08-03,月,1D,カイア渡し場,,,-,-,ok
356,2026-08-03,月,1E,カズラ農場,,,統一,-,ok
370,2026-08-17,月,3A,ルツム族駐屯地,,,,-,ok
370,2026-08-17,月,3B,アト農場,,,,-,ok
370,2026-08-17,月,2A,ベリア農場地帯,,,-,-,ok
370,2026-08-17,月,2B,ギュントの丘,,,-,-,ok
370,2026-08-17,月,2C,高原地帯,,,-,-,ok
370,2026-08-17,月,1A,隠遁の森,,,-,-,ok
370,2026-08-17,月,1B,エワズの丘,,,-,-,ok
370,2026-08-17,月,1C,廃城跡入り口,,,統一,-,ok
370,2026-08-17,月,1D,カイア渡し場,,,-,-,ok
370,2026-08-17,月,1E,カズラ農場,,,統一,-,ok
373,2026-08-20,木,3A,北部大農場,,,,-,ok
373,2026-08-20,木,2A,トロル防御基地,,,-,-,ok
373,2026-08-20,木,2B,隠された修道院,,,-,-,ok
373,2026-08-20,木,2C,マルニの第2実験場,,,-,-,ok
373,2026-08-20,木,1A,アグリス平原,,,統一,-,ok
373,2026-08-20,木,1B,リンチ農場廃墟,,,-,-,ok
373,2026-08-20,木,1C,ブレディー砦,,,-,-,ok
373,2026-08-20,木,1D,エントの森,,,統一,-,ok
373,2026-08-20,木,1E,クリオ村,,,-,-,ok
374,2026-08-21,金,3A,アグリス祭壇,,,,-,ok
374,2026-08-21,金,2A,ナーガ抽出場,,,-,-,ok
374,2026-08-21,金,2B,オークキャンプ,,,統一,-,ok
374,2026-08-21,金,1A,北部採石場,,,統一,-,ok
374,2026-08-21,金,1B,ハーピーの絶壁,,,-,-,ok
374,2026-08-21,金,1C,ブリの森,,,-,-,ok
374,2026-08-21,金,1D,マンシャの森の奥,,,-,-,ok
374,2026-08-21,金,1E,廃鉄鉱山採掘場,,,-,-,ok
376,2026-08-23,日,3A,デルニール農場,,,,-,ok
376,2026-08-23,日,2A,略奪の森,,,-,-,ok
376,2026-08-23,日,2B,忘却の地,,,-,-,ok
376,2026-08-23,日,1A,ナーガ沼地,,,統一,-,ok
376,2026-08-23,日,1B,旧ダンデリオン,,,統一,-,ok
376,2026-08-23,日,1C,捨てられた地,,,-,-,ok
376,2026-08-23,日,1D,ベア川下流,,,-,-,ok
376,2026-08-23,日,1E,アルティノ入り口,,,-,-,ok
