source_row,date,weekday,territory,winner,attacker1,attacker2
11,2025-08-23,土,カルフェオン,PONYTAIL,MystSA,AlmaVivaJP
11,2025-08-23,土,バレンシア,RaиkSS,Anino,TheUniverse
18,2025-08-30,土,カルフェオン,AlmaVivaJP,,
18,2025-08-30,土,バレンシア,TRAITORs,,
186,2026-02-14,土,カルフェオン,AlmaVivaJP,,
186,2026-02-14,土,バレンシア,TRAITORs,,
193,2026-02-21,土,カルフェオン,RaиkSS,,
193,2026-02-21,土,バレンシア,VainqueurJP,,
200,2026-02-28,土,カルフェオン,RaиkSS,,
200,2026-02-28,土,バレンシア,TRAITORs,,
207,2026-03-07,土,カルフェオン,PONYTAIL,,
207,2026-03-07,土,バレンシア,TRAITORs,,
214,2026-03-14,土,カルフェオン,RaиkSS,,
214,2026-03-14,土,バレンシア,MystSA,,
221,2026-03-21,土,カルフェオン,VainqueurJP,,
221,2026-03-21,土,バレンシア,TRAITORs,,
228,2026-03-28,土,カルフェオン,AlmaVivaJP,,
228,2026-03-28,土,バレンシア,TRAITORs,,
235,2026-04-04,土,カルフェオン,AlmaVivaJP,,
235,2026-04-04,土,バレンシア,TRAITORs,,
242,2026-04-11,土,カルフェオン,PhoenixJP,,
242,2026-04-11,土,バレンシア,RaиkSS,,
249,2026-04-18,土,カルフェオン,VainqueurJP,,
249,2026-04-18,土,バレンシア,RaиkSS,,
256,2026-04-25,土,カルフェオン,AlmaVivaJP,,
256,2026-04-25,土,バレンシア,RaиkSS,,
263,2026-05-02,土,カルフェオン,AlmaVivaJP,,
263,2026-05-02,土,バレンシア,PhoenixJP,,
270,2026-05-09,土,カルフェオン,AlmaVivaJP,,
270,2026-05-09,土,バレンシア,VainqueurJP,,
277,2026-05-16,土,カルフェオン,RaиkSS,,
277,2026-05-16,土,バレンシア,VainqueurJP,,
284,2026-05-23,土,カルフェオン,RaиkSS,,
284,2026-05-23,土,バレンシア,TRAITORs,,
291,2026-05-30,土,カルフェオン,VainqueurJP,,
291,2026-05-30,土,バレンシア,TRAITORs,,
298,2026-06-06,土,カルフェオン,AlmaVivaJP,,
298,2026-06-06,土,バレンシア,TRAITORs,,
305,2026-06-13,土,カルフェオン,AlmaVivaJP,,
305,2026-06-13,土,バレンシア,PONYTAIL,,
312,2026-06-20,土,カルフェオン,AlmaVivaJP,,
312,2026-06-20,土,バレンシア,PONYTAIL,,
319,2026-06-27,土,カルフェオン,AlmaVivaJP,,
319,2026-06-27,土,バレンシア,PONYTAIL,,
326,2026-07-04,土,カルフェオン,AlmaVivaJP,,
326,2026-07-04,土,バレンシア,VainqueurJP,,
333,2026-07-11,土,カルフェオン,AlmaVivaJP,,
333,2026-07-11,土,バレンシア,TRAITORs,,
340,2026-07-18,土,カルフェオン,AlmaVivaJP,,
340,2026-07-18,土,バレンシア,MystSA,,
347,2026-07-25,土,カルフェオン,AlmaVivaJP,,
347,2026-07-25,土,バレンシア,PONYTAIL,,
354,2026-08-01,土,カルフェオン,AlmaVivaJP,,
354,2026-08-01,土,バレンシア,PONYTAIL,,
361,2026-08-08,土,カルフェオン,AlmaVivaJP,,
361,2026-08-08,土,バレンシア,VainqueurJP,,
368,2026-08-15,土,カルフェオン,AlmaVivaJP,,
368,2026-08-15,土,バレンシア,VainqueurJP,,
